scene,floor,question,choices,question_formatted,answer,label
00618-T4G9hTR5WSv,1,How many colorful pillows are there on the living room sofa?,"['Four', 'None', 'One', 'Two']",How many colorful pillows are there on the living room sofa? A) Four B) None C) One D) Two. Answer:,D,count
00621-SAZ4gvMfxm1,0,Guests are coming. How many sets of utensils are on the dining table?,"['Eight', 'Four', 'Six', 'Two']",Guests are coming. How many sets of utensils are on the dining table? A) Eight B) Four C) Six D) Two. Answer:,C,count
00622-bxwHR9ipFG8,0,Is there a rug at the door to the balcony?,"['Yes', '(Do not choose this option)', 'No', '(Do not choose this option)']",Is there a rug at the door to the balcony? A) Yes B) (Do not choose this option) C) No D) (Do not choose this option). Answer:,C,existence
00625-VWczCD1Hbus,1,Is the closet open or closed in the kid's room?,"['(Do not choose this option)', 'Open', 'Closed', '(Do not choose this option)']",Is the closet open or closed in the kid's room? A) (Do not choose this option) B) Open C) Closed D) (Do not choose this option). Answer:,C,state
00639-AwL2QGztLwV,0,Are the kitchen sink lights left on?,"['No', '(Do not choose this option)', 'Yes', '(Do not choose this option)']",Are the kitchen sink lights left on? A) No B) (Do not choose this option) C) Yes D) (Do not choose this option). Answer:,C,state
00649-RiwBKy2YdQ7,0,How many jackets are there hanging in the office?,"['Two', '(Do not choose this option)', 'None', 'One']",How many jackets are there hanging in the office? A) Two B) (Do not choose this option) C) None D) One. Answer:,A,count
00649-RiwBKy2YdQ7,1,Is the shower curtain on or off in the bathroom with the circle on the floor?,"['It is covering the shower', '(Do not choose this option)', 'No, it is not', '(Do not choose this option)']","Is the shower curtain on or off in the bathroom with the circle on the floor? A) It is covering the shower B) (Do not choose this option) C) No, it is not D) (Do not choose this option). Answer:",A,state
00652-BcZUZQ9t4Fe,0,Is there any towel on the bathrub?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Is there any towel on the bathrub? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,D,existence
00652-BcZUZQ9t4Fe,0,How many plush toys are there on the twin bed with unicorn pillow?,"['None', 'Three', 'One', 'Five']",How many plush toys are there on the twin bed with unicorn pillow? A) None B) Three C) One D) Five. Answer:,A,count
00653-4RuxhXRmb3V,0,"I'm sorting laundry and need to know, is there a laundry basket currently on top of the laundry machine?","['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']","I'm sorting laundry and need to know, is there a laundry basket currently on top of the laundry machine? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:",C,existence
00663-1Rg1SS1dRpG,0,How many cues did my friends leave on the pool table?,"['Two', 'One', 'Five', 'None']",How many cues did my friends leave on the pool table? A) Two B) One C) Five D) None. Answer:,A,count
00663-1Rg1SS1dRpG,0,How many chairs are there around the dining table?,"['Two', 'One', 'Three', 'Four']",How many chairs are there around the dining table? A) Two B) One C) Three D) Four. Answer:,D,count
00663-1Rg1SS1dRpG,1,Is there any pair of slippers on the stairs?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there any pair of slippers on the stairs? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00663-1Rg1SS1dRpG,1,How many penchants lights are above the kitchen island?,"['None', 'One', 'Three', 'Two']",How many penchants lights are above the kitchen island? A) None B) One C) Three D) Two. Answer:,C,count
00667-5K2dTSVihN7,0,Is the curtain fully covering the entrance door?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",Is the curtain fully covering the entrance door? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,B,state
00669-DNWbUAJYsPy,0,I wanna shower now. Is there any towel there?,"['(Do not choose this option)', 'No', '(Do not choose this option)', 'Yes']",I wanna shower now. Is there any towel there? A) (Do not choose this option) B) No C) (Do not choose this option) D) Yes. Answer:,D,existence
00672-4L4peQsMgfR,0,Are there a few wood logs left at the fireplace?,"['Yes', '(Do not choose this option)', '(Do not choose this option)', 'No']",Are there a few wood logs left at the fireplace? A) Yes B) (Do not choose this option) C) (Do not choose this option) D) No. Answer:,A,existence
00686-LU4A39yR8gc,1,"Is the bedstand lamp left on, the one in the bedroom with green blanket?","['(Do not choose this option)', '(Do not choose this option)', 'No', 'Yes']","Is the bedstand lamp left on, the one in the bedroom with green blanket? A) (Do not choose this option) B) (Do not choose this option) C) No D) Yes. Answer:",D,state
00691-MyxM6trMBUH,0,Is the backpack left on the kitchen island?,"['(Do not choose this option)', 'Yes', 'No', '(Do not choose this option)']",Is the backpack left on the kitchen island? A) (Do not choose this option) B) Yes C) No D) (Do not choose this option). Answer:,C,existence
00697-5vUupbRRdyH,1,Is there any pot left on the stove?,"['No', '(Do not choose this option)', '(Do not choose this option)', 'Yes']",Is there any pot left on the stove? A) No B) (Do not choose this option) C) (Do not choose this option) D) Yes. Answer:,A,existence
00702-wCqnXzoru3X,1,Is the air conditioning in the living room turned on?,"['No', 'Yes', '(Do not choose this option)', '(Do not choose this option)']",Is the air conditioning in the living room turned on? A) No B) Yes C) (Do not choose this option) D) (Do not choose this option). Answer:,A,state
00715-kjUg7BaQF1C,0,How many stools are there at kitchen island right now?,"['Four', 'Two', 'None', 'One']",How many stools are there at kitchen island right now? A) Four B) Two C) None D) One. Answer:,A,count
00720-8B43pG641ff,0,Did my daughter remember to put the piano lid down?,"['No, it is up', '(Do not choose this option)', 'Yes, it is down', '(Do not choose this option)']","Did my daughter remember to put the piano lid down? A) No, it is up B) (Do not choose this option) C) Yes, it is down D) (Do not choose this option). Answer:",A,state
00720-8B43pG641ff,0,How many chairs do we have around the outdoor dining table?,"['Six', 'Four', 'Eight', 'Two']",How many chairs do we have around the outdoor dining table? A) Six B) Four C) Eight D) Two. Answer:,A,count
00730-UYrgg12a7QN,0,Is the floor lamp in the living room turned on?,"['No, it is off', '(Do not choose this option)', 'Yes, it is on', '(Do not choose this option)']","Is the floor lamp in the living room turned on? A) No, it is off B) (Do not choose this option) C) Yes, it is on D) (Do not choose this option). Answer:",A,state
00756-1K7P6ZQS4VM,0,Guests are coming. How many sets of utensils are set up on the dining table?,"['Four', 'Six', 'Two', 'None']",Guests are coming. How many sets of utensils are set up on the dining table? A) Four B) Six C) Two D) None. Answer:,D,count
00757-LVgQNuK8vtv,0,How many pairs of long boots are in the coat closet?,"['Three pairs', 'Two pairs', 'Four pairs', 'One pair']",How many pairs of long boots are in the coat closet? A) Three pairs B) Two pairs C) Four pairs D) One pair. Answer:,D,count
